address,lat,lng
2100 s archer av,41.85426174412816,-87.63198586874586
400 n laramie,41.8879183222,-87.7554106162966
1300 w cornelia,41.94533245133371,-87.66162070827761
200 w cermak rd,41.85295145325739,-87.63201538496159
2400 n monticello av,41.924665253119116,-87.71825342316583
7200 s phillips,41.76434795582545,-87.56576630481851
700 e 43rd st,41.81680747489747,-87.60902433527613
4700 n winthrop,41.96741621065843,-87.65762880630713
3100 w fillmore,41.868291518754546,-87.703461
6500 s calumet,41.77757784237229,-87.61728902233747
600 w melrose,41.941173817243964,-87.6445123124346
5300 s lake park service,41.79955602417892,-87.58779982988042
2800 w cermak rd,41.85191645325739,-87.69574349999998
2900 w chase,42.01385548600598,-87.7022044730798
2900 w augusta boulevard,41.899342776331906,-87.69933027633188
3800 n fremont,41.951216871780666,-87.65207934394785
1 w randolph,41.88441065945951,-87.62800016871412
1200 s clinton st,41.867165988221004,-87.64078563758983
3100 n broadway st,41.93794033947886,-87.64439933992311
400 e ohio st,41.89267546378896,-87.6172232514571
1800 n paulina,41.914350779903344,-87.6702838757083
7200 s spaulding av,41.762375832361954,-87.7052368265622
100 e bellevue,41.90163353318129,-87.62543141909515
700 n dearborn parkway,41.89503600000001,-87.62977792480797
6900 n greenview,42.00669170699825,-87.66787098388048
4900 n claremont,41.970485016460884,-87.6878101839114
2100 n st louis,41.91920119100559,-87.7135834329015
3200 n eastwood,41.96566270238096,-87.70847097914431
2500 w division,41.90300652986305,-87.68965083527613
1600 n lake shore dr,41.91065695872601,-87.62630016578329
7900 s hermitage,41.75023039975318,-87.6671166066193
100 w kinzie,41.88927985715735,-87.63112015259304
100 s wacker drive,41.87997899999999,-87.63701832209014
300 e walton st,41.90018580046524,-87.61935456050153
3000 n halsted st,41.936640600611696,-87.64917993259823
3100 n milwaukee ave,41.937411331294044,-87.72122830190506
1900 n burlig,41.916086884817354,-87.64724839595452
4100 w dickens ave,41.91904158352342,-87.72912240720595
1600 w 59th st,41.78677152712177,-87.66477207951986
700 w 35th st,41.83081348600598,-87.6438617216227
1 e illinois,41.89078553190564,-87.62795305262176
2300 n milwaukee av,41.92292207631723,-87.69744797766742
3600 w douglas blvd,41.86287349711448,-87.71557452844941
7700 s phillips ave,41.75516713627445,-87.5651068265622
6300 n magnolia,41.99641290563361,-87.66181025444278
1 e bellevue place,41.90149322090818,-87.62828372090819
400 w north av,41.91116879050145,-87.63866129050146
5300 w waveland,41.947895805105006,-87.7595332720424
100 s clark st,41.880445239800345,-87.63086030824036
800 n la salle st,41.896071,-87.63276035956953
4400 w armitage,41.91706948600597,-87.736554
5500 w george st,41.93320870568913,-87.76391990005693
4000 w 26th st,41.844297518754566,-87.72486375437128
800 n may,41.89632635956231,-87.65531885956231
100 w division,41.90398390230461,-87.63154947983702
6200 s albany ave,41.780644658895476,-87.70078730102699
400 w superior st,41.895533460470745,-87.6388635
1400 w cuyler,41.9552624787926,-87.66447219317328
2100 s pulaski,41.853356549541246,-87.72485736652416
200 e chestnut,41.898455453257384,-87.62141219608749
4600 w leland,41.96631972020958,-87.74284196377133
3800 w roscoe,41.942855642729775,-87.72244440802861
2200 w leland,41.96686347879261,-87.68416388926077
2600 w 15th st,41.86114348600597,-87.6910045284494
400 e 41st,41.82030247936953,-87.61448088634657
5400 s shore drive,41.79666972284138,-87.58095890743314
8100 s hermitage,41.746536136274464,-87.66701735209743
3100 w 61st st,41.78271946938176,-87.70090177379036
1000 w belmont av,41.93994067196285,-87.65418294781134
3400 n whipple,41.94336764167674,-87.70406904831002
5400 s kenwood,41.79726868793469,-87.59349346835742
900 e 59th st,41.78780720808268,-87.60333414047652
2600 w lemoyne st,41.90849578729801,-87.692152787298
8100 s cottage grove,41.74739899417162,-87.60515831934885
100 s peoria st,41.88038532980247,-87.64969386016932
3200 s lituancia,41.836291658895504,-87.6486973337756
700  solidarity dr,41.8665164346044,-87.61254569277905
1500 w 18th st,41.85784948600596,-87.6639015
1400 s sangamon,41.86197488610272,-87.64991777095757
7800 s emerald,41.752322245628704,-87.64288683767073
1000 w washington bv,41.88306651154119,-87.65268227699232
6400 s maplewood ave,41.777233826533546,-87.68730080102699
1200 w pratt ave,42.00561333880383,-87.66099191385705
7700 s komensky,41.752473322499135,-87.72300580422409
1 e 14th st,41.86398254897827,-87.62565451989374
1100 n hermitage,41.90230674271453,-87.67116886262902
500 n halsted st,41.89124044517585,-87.64766076598795
100 s dearborn,41.88066864027351,-87.62943935972649
5900 w bryn mawr,41.98298830985385,-87.77568243619857
1500 s indiana,41.86196389203074,-87.62253783767072
1500 n lasalle blvd,41.91122015762901,-87.63318904731533
6500 s western,41.775406910352594,-87.68357778660027
4100 w 49th st,41.80424743379436,-87.72600285737008
2400 w moffat,41.91492965944446,-87.68739290120578
400 e ontario st,41.893529361466896,-87.61764633100273
2200 n stockton,41.92202250000001,-87.63573935930941
7400 s kenwood,41.760395884817356,-87.59208882656222
300 w illinois st,41.8908280875004,-87.6356244341818
9400 s wentworth,41.72342063869903,-87.62873736130098
2900 n clark st,41.935055135697546,-87.64673656832446
1400 w edgewater,41.98637647489746,-87.66531402844942
200 e 47th,41.809352467684114,-87.62084141909516
3200 w armitage av,41.91742948600597,-87.70723199999998
3600 n magnolia,41.947407,-87.6604199392347
900 w belmont av,41.93992745325738,-87.65180044463038
5200 w washington,41.882390453257386,-87.75537299999998
1200 w carmen,41.974672866735894,-87.6598878667359
7600 s saginaw,41.75718749837058,-87.56005270744787
4600 s halsted,41.81005780099832,-87.64560835772333
1700 s michigan ave,41.85892741326677,-87.62397789984966
2300 w madison,41.88122248600598,-87.68422319608747
1400 e 53rd st,41.799542529863054,-87.59169220038666
3900 w lexington,41.87172961888678,-87.72296083889078
1600 e 00 pl,41.88425000000007,-87.63244999999996
3100 w schubert,41.93029271808245,-87.70497888145624
4700 s bishop,41.80856963955196,-87.66135786044802
1200 s wabash av,41.86725305245543,-87.62586941427637
6400 s calumet,41.778854399767866,-87.61730910803075
800 w lill,41.928200496537535,-87.64911402844942
13000 s ellis,41.659369206709535,-87.59776443217498
1300 w 18th st,41.8579768620453,-87.65893101385241
1400 w 73rd pl,41.760461460470744,-87.65901402844942
700 n may,41.89517279248397,-87.65571704513098
3200 w 60th st,41.78449305908788,-87.70337171149829
3000 w montrose av,41.96125745325739,-87.7036322514571
1800 w chicago,41.89602748600598,-87.67230227699233
1400 w belmont ave,41.93974452986307,-87.66403102553522
6100 s evans ave,41.78385682070518,-87.60736873163471
100 e superior,41.89579734972082,-87.62537731343288
3200 w warren,41.88195387651092,-87.70622061679786
1100 w thorndale av,41.99004053318128,-87.65859094463038
7000 s loomis boulevard,41.76665071717929,-87.65903779381365
1 w chestnut st,41.89793689978581,-87.62832790710337
3000 w 60th st,41.784572345061655,-87.69847281694506
200 w jackson boulevard,41.87814147879261,-87.63409252553522
1800 n rockwell,41.914001131885954,-87.69226057240273
1 s paulina,41.88134544791709,-87.66922886391174
5700 n central park,41.98479450622737,-87.7187526783951
300 w jackson,41.878182069363106,-87.63528336911536
3600 w 60th st,41.78429146826103,-87.71330525007211
6200 s troy st,41.78067229808414,-87.702006801027
4500 n lincoln,41.963445975013045,-87.68520789788776
200 n wabash,41.88581625328071,-87.62633693048842
1400 n kildare,41.9063127171793,-87.73379990316789
1800 e 53rd st,41.79974924611341,-87.58196436917011
200 w 19th st,41.85669949042944,-87.63256492560456
1800 s wood st,41.857672543008725,-87.67111725106709
5800 s michigan ave,41.789033968636396,-87.62235729770876
500 w normal pkwy,41.77146267450697,-87.63722645356171
3700 s wood st,41.826701724392656,-87.6703503593108
1100 w drummond,41.92989674797732,-87.6562438520878
2100 w maypole,41.88402475799099,-87.67922875799098
